Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682728199.2902994,0,0,45.6,1.2,1.0,0.0
1682728207.039784,0,0,43.0,2.2,0.6,0.0
1682728214.8107347,0,0,40.6,1.0,0.2,0.0
1682728222.5301204,0,0,45.8,1.4,0.0,0.2
1682728230.1365764,0,0,41.0,1.8,0.0,0.0
1682728237.812238,0,0,37.2,1.0,0.2,0.0
1682728245.7569888,0,0,36.8,1.4,0.4,0.0
1682728253.5150347,0,0,39.8,0.6,0.4,0.0
1682728261.2799275,0,0,37.6,1.0,1.0,0.0
1682728268.9160998,0,0,38.8,1.2,0.2,0.0
1682728276.8528268,0,0,42.6,1.6,0.0,0.0
1682728284.6370928,0,0,45.6,1.4,0.0,0.0
1682728292.339483,0,0,41.8,1.4,0.0,0.0
1682728300.1403162,0,0,40.0,1.0,0.4,0.0
1682728308.1093304,0,0,40.2,0.2,0.6,0.0
1682728316.056193,0,0,38.4,0.6,0.2,0.2
1682728323.9071388,0,0,44.8,2.2,0.4,0.0
1682728331.945018,0,0,34.2,1.2,0.2,0.0
1682728339.81274,0,0,41.6,0.2,0.0,0.2
1682728347.6802027,0,0,41.4,0.8,0.4,0.0
1682728355.5347424,0,0,45.4,1.6,0.4,0.2
1682728363.5286217,0,0,37.0,0.8,0.6,0.0
1682728371.405638,0,0,43.2,1.4,0.0,0.2
1682728379.3158479,0,0,39.4,1.8,0.2,0.0
1682728387.624595,0,0,42.4,1.2,0.2,0.0
1682728395.5748086,0,0,44.8,1.4,0.8,0.2
1682728403.4939342,0,0,34.8,1.0,0.6,0.0
1682728411.4317484,0,0,42.6,1.0,0.4,0.0
1682728419.5626957,0,0,41.4,0.8,0.6,0.0
1682728427.599319,0,0,41.0,1.2,0.4,0.0
1682728435.5058508,0,0,40.6,1.2,0.2,0.0
1682728443.7729828,0,0,40.8,1.0,0.6,0.0
1682728451.7850611,0,0,41.8,1.0,0.2,0.2
1682728459.7832978,0,0,40.6,1.2,0.2,0.2
1682728467.7750268,0,0,43.4,0.8,0.2,0.0
1682728476.0308309,0,0,50.0,1.4,0.6,0.0
1682728484.0720105,0,0,46.0,1.8,0.8,0.0
1682728492.052491,0,0,42.2,0.8,0.2,0.0
1682728500.325555,0,0,43.0,2.6,0.2,0.0
1682728508.338832,0,0,44.6,1.4,0.2,0.0
1682728516.4391427,0,0,40.4,1.0,0.4,0.4
1682728524.6505077,0,0,40.8,1.4,0.4,0.0
1682728532.833285,0,0,45.0,1.4,0.2,0.2
1682728540.9174926,0,0,41.4,1.2,0.4,0.0
1682728549.3217561,0,0,42.4,0.6,0.2,0.0
1682728557.6216133,0,0,47.0,0.6,0.8,0.0
1682728565.8099718,0,0,43.2,1.2,0.6,0.2
1682728574.0089262,0,0,38.2,1.6,0.2,0.0
1682728582.426905,0,0,41.2,0.8,0.4,0.0
1682728590.6437087,0,0,44.4,1.4,0.0,0.0
1682728598.8661735,0,0,41.6,0.2,0.8,0.0
1682728607.3391907,0,0,45.6,1.4,0.4,0.0
1682728615.6099443,0,0,37.8,1.2,0.0,0.0
1682728623.7916312,0,0,42.8,1.6,0.2,0.0
1682728632.2440286,0,0,37.0,1.4,0.6,0.0
1682728640.4686682,0,0,40.8,2.0,0.6,0.0
1682728648.767348,0,0,43.0,1.2,0.0,0.0
